# SYNTHETIC — generated by tools/make_bench_capture.py, NOT measured. Do not report as collected data.
# terrabyte dataset logger, NOT production firmware; node=pot-03 logger=dataset-logger-0.1.0-BENCH-ONLY interval_ms=60000
# validity bits: 1=air_t 2=rh 4=ppfd 8=soil_t 16=soil_moist 32=lux
# generator_seed=20276652 days=45 drying_scale=1.160 absorption_per_ml=0.456 thirst_threshold=23.0
captured_at_utc,sequence,uptime_ms,air_temperature_c,relative_humidity_pct,ppfd_umol_m2_s,illuminance_lux,soil_temperature_c,soil_moisture_pct,soil_moisture_raw_adc,validity,event,event_ml
2026-06-30T10:00:00Z,0,64199,24.91,47.81,,11144.14,20.19,47.97,457,59,,
2026-06-30T10:01:00Z,1,124201,24.74,53.03,,11375.80,20.41,47.93,457,59,,
2026-06-30T10:02:00Z,2,184201,25.23,49.09,,10377.96,20.72,47.91,457,59,,
2026-06-30T10:03:00Z,3,244202,24.35,52.03,,9769.26,20.85,47.90,457,59,,
2026-06-30T10:04:00Z,4,304202,25.33,52.84,,9966.61,20.98,47.87,457,59,,
2026-06-30T10:05:00Z,5,364199,25.10,51.18,,9169.08,21.07,47.88,457,59,,
2026-06-30T10:06:00Z,6,424198,24.58,52.73,,10400.50,21.19,47.88,457,59,,
2026-06-30T10:07:00Z,7,484199,25.20,55.70,,11897.87,21.36,47.83,457,59,,
2026-06-30T10:08:00Z,8,544198,24.83,50.39,,11690.74,21.49,47.81,457,59,,
2026-06-30T10:09:00Z,9,604200,24.89,51.72,,10912.18,21.62,47.81,457,59,,
2026-06-30T10:10:00Z,10,664198,24.56,49.09,,11137.71,21.72,47.75,458,59,,
2026-06-30T10:11:00Z,11,724200,25.39,52.62,,10637.71,21.86,47.69,458,59,,
2026-06-30T10:12:00Z,12,784199,25.36,51.15,,10939.13,21.94,47.66,458,59,,
2026-06-30T10:13:00Z,13,844202,24.51,47.40,,9758.12,22.03,47.66,458,59,,
2026-06-30T10:14:00Z,14,904199,25.15,51.74,,8881.98,22.16,47.68,458,59,,
2026-06-30T10:15:00Z,15,964201,24.91,52.52,,10124.37,22.19,47.70,458,59,,
2026-06-30T10:16:00Z,16,1024200,24.41,51.63,,11413.90,22.25,47.70,458,59,,
2026-06-30T10:17:00Z,17,1084203,24.76,46.63,,11821.66,22.34,47.70,458,59,,
2026-06-30T10:18:00Z,18,1144205,24.92,48.56,,11708.86,22.39,47.65,458,59,,
2026-06-30T10:19:00Z,19,1204205,24.78,51.30,,11801.30,22.44,47.64,458,59,,
2026-06-30T10:20:00Z,20,1264205,25.40,46.51,,10874.57,22.47,47.58,458,59,,
2026-06-30T10:21:00Z,21,1324208,25.51,49.14,,10265.99,22.60,47.54,458,59,,
2026-06-30T10:22:00Z,22,1384210,25.47,49.87,,11983.66,22.71,47.54,458,59,,
2026-06-30T10:23:00Z,23,1444212,24.84,51.74,,8788.89,22.72,47.55,458,59,,
2026-06-30T10:24:00Z,24,1504215,24.69,51.43,,9939.39,22.77,47.50,458,59,,
2026-06-30T10:25:00Z,25,1564215,25.19,51.21,,11733.62,22.86,47.48,459,59,,
2026-06-30T10:26:00Z,26,1624216,24.82,48.51,,9827.64,22.87,47.45,459,59,,
2026-06-30T10:27:00Z,27,1684219,24.80,51.77,,11793.53,22.88,47.42,459,59,,
2026-06-30T10:28:00Z,28,1744216,25.35,52.92,,12056.16,22.89,47.42,459,59,,
2026-06-30T10:29:00Z,29,1804215,25.17,52.43,,11012.58,22.88,47.40,459,59,,
2026-06-30T10:30:00Z,30,1864214,24.71,49.35,,11051.53,22.92,47.38,459,59,,
